,,,,FluSurveillance_Custom_Download_Data HOSPITALISATION,,,Waste water data,,ILI GP data,,,,ICL Lab tests ,,,,Google trends,,,
CATCHMENT,NETWORK,YEAR,WEEK,WEEKLY RATE,,sample_collect_date,pcr_target_mic_lin,,YEAR,WEEK,%UNWEIGHTED ILI,,YEAR,WEEK,PERCENT A,,Time,cough,dry cough,sore throat
New York - Rochester,EIP,2020,8,10.5,,06-Sep-24,0.00002,,2023,19,1.39906,,2023,19,0.45,,,,,
New York - Albany,EIP,2020,8,8.4,,09-Sep-24,0.00001,,2023,20,1.71774,,2023,20,0.65,,,,,
Entire Network,FluSurv-NET,2020,8,5,,10-Sep-24,0,,2023,21,1.65233,,2023,21,0.68,,,,,
New York - Rochester,EIP,2020,9,6.6,,11-Sep-24,0,,2023,22,1.31054,,2023,22,0.96,,,,,
New York - Albany,EIP,2020,9,7.5,,11-Sep-24,0.00001,,2023,23,1.41963,,2023,23,0.53,,,,,
Entire Network,FluSurv-NET,2020,9,4.4,,12-Sep-24,0,,2023,24,1.34858,,2023,24,0.42,,,,,
New York - Rochester,EIP,2020,10,6.7,,16-Sep-24,0,,2023,25,1.29315,,2023,25,0.24,,,,,
New York - Albany,EIP,2020,10,5.9,,17-Sep-24,0,,2023,26,1.08874,,2023,26,0.38,,,,,
Entire Network,FluSurv-NET,2020,10,4,,18-Sep-24,0.00001,,2023,27,0.865914,,2023,27,0.42,,,,,
New York - Rochester,EIP,2020,11,5.8,,20-Sep-24,0.00001,,2023,28,0.981587,,2023,28,0.63,,,,,
New York - Albany,EIP,2020,11,4.8,,23-Sep-24,0,,2023,29,1.02805,,2023,29,0.27,,,,,
Entire Network,FluSurv-NET,2020,11,2.8,,25-Sep-24,0,,2023,30,1.03609,,2023,30,0.18,,,,,
New York - Rochester,EIP,2020,12,1.9,,25-Sep-24,0,,2023,31,0.978985,,2023,31,0.53,,,,,
New York - Albany,EIP,2020,12,2.3,,27-Sep-24,0.00001,,2023,32,1.00123,,2023,32,0.57,,,,,
Entire Network,FluSurv-NET,2020,12,1.3,,30-Sep-24,0,,2023,33,1.02769,,2023,33,0.28,,,,,
New York - Rochester,EIP,2020,13,0.3,,30-Sep-24,0,,2023,34,1.02127,,2023,34,0.26,,,,,
New York - Albany,EIP,2020,13,0.3,,02-Oct-24,0.00001,,2023,35,1.01122,,2023,35,0.45,,,,,
Entire Network,FluSurv-NET,2020,13,0.3,,02-Oct-24,0.00003,,2023,36,1.04924,,2023,36,0.43,,,,,
New York - Rochester,EIP,2020,14,0.2,,04-Oct-24,0.00002,,2023,37,1.28467,,2023,37,0.35,,,,,
New York - Albany,EIP,2020,14,0.1,,07-Oct-24,0,,2023,38,1.59934,,2023,38,0.35,,,,,
Entire Network,FluSurv-NET,2020,14,0.1,,07-Oct-24,0,,2023,39,1.57348,,2023,39,0.24,,,,,
New York - Rochester,EIP,2020,15,0,,09-Oct-24,0.00001,,2023,40,1.61296,,2023,40,0.36,,,,,
New York - Albany,EIP,2020,15,0.1,,09-Oct-24,0,,2023,41,1.53101,,2023,41,0.48,,,,,
Entire Network,FluSurv-NET,2020,15,0.1,,11-Oct-24,0.00001,,2023,42,1.57285,,2023,42,0.63,,,,,
New York - Rochester,EIP,2020,16,0,,13-Oct-24,0,,2023,43,1.69252,,2023,43,0.67,,,,,
New York - Albany,EIP,2020,16,0,,14-Oct-24,0.0001,,2023,44,1.70797,,2023,44,0.94,,,,,
Entire Network,FluSurv-NET,2020,16,0.1,,16-Oct-24,0,,2023,45,1.96752,,2023,45,1.69,,,,,
New York - Rochester,EIP,2020,17,0.1,,16-Oct-24,0.00015,,2023,46,2.21594,,2023,46,2.24,,,,,
New York - Albany,EIP,2020,17,0,,18-Oct-24,0,,2023,47,2.36463,,2023,47,3.65,,,,,
Entire Network,FluSurv-NET,2020,17,0,,21-Oct-24,0.00001,,2023,48,2.51013,,2023,48,5.38,,,,,
New York - Rochester,EIP,2020,40,null,,21-Oct-24,0,,2023,49,2.4827,,2023,49,8.54,,,,,
New York - Albany,EIP,2020,40,null,,22-Oct-24,0,,2023,50,3.0827,,2023,50,12.14,,,,,
Entire Network,FluSurv-NET,2020,40,null,,23-Oct-24,0,,2023,51,3.5352,,2023,51,17.08,,,,,
New York - Rochester,EIP,2020,41,null,,23-Oct-24,0.00001,,2023,52,4.23452,,2023,52,18.42,,,,,
New York - Albany,EIP,2020,41,null,,25-Oct-24,0.00001,,2024,1,3.52257,,2024,1,12.1,,,,,
Entire Network,FluSurv-NET,2020,41,null,,27-Oct-24,0,,2024,2,2.54504,,2024,2,11.41,,,,,
New York - Rochester,EIP,2020,42,null,,28-Oct-24,0,,2024,3,2.24634,,2024,3,10.5,,,,,
New York - Albany,EIP,2020,42,null,,29-Oct-24,0,,2024,4,1.68956,,2024,4,9.74,,,,,
Entire Network,FluSurv-NET,2020,42,null,,30-Oct-24,0,,2024,5,2.40958,,2024,5,8.99,,,,,
New York - Rochester,EIP,2020,43,null,,01-Nov-24,0.00001,,2024,6,2.26655,,2024,6,8.78,,,,,
New York - Albany,EIP,2020,43,null,,04-Nov-24,0,,2024,7,2.34278,,2024,7,9.29,,,,,
Entire Network,FluSurv-NET,2020,43,null,,04-Nov-24,0,,2024,8,2.47413,,2024,8,8.73,,,,,
New York - Rochester,EIP,2020,44,null,,05-Nov-24,0,,2024,9,2.23167,,2024,9,8.14,,,,,
New York - Albany,EIP,2020,44,null,,06-Nov-24,0,,2024,10,2.00618,,2024,10,6.93,,,,,
Entire Network,FluSurv-NET,2020,44,null,,06-Nov-24,0,,2024,11,1.84321,,2024,11,5.61,,,,,
New York - Rochester,EIP,2020,45,null,,08-Nov-24,0,,2024,12,1.78908,,2024,12,4.94,,,,,
New York - Albany,EIP,2020,45,null,,10-Nov-24,0,,2024,13,1.83268,,2024,13,4.77,,,,,
Entire Network,FluSurv-NET,2020,45,null,,11-Nov-24,0,,2024,14,1.65707,,2024,14,4,,,,,
New York - Rochester,EIP,2020,46,null,,12-Nov-24,0,,2024,15,1.46932,,2024,15,2.85,,,,,
New York - Albany,EIP,2020,46,null,,13-Nov-24,0.00001,,2024,16,1.30025,,2024,16,1.9,,,,,
Entire Network,FluSurv-NET,2020,46,null,,15-Nov-24,0,,2024,17,1.2529,,2024,17,2.24,,,,,
New York - Rochester,EIP,2020,47,null,,18-Nov-24,0,,2024,18,1.07441,,2024,18,2.51,,,,,
New York - Albany,EIP,2020,47,null,,18-Nov-24,0,,2024,19,1.02848,,2024,19,1.42,,,,,
Entire Network,FluSurv-NET,2020,47,null,,19-Nov-24,0.00002,,2024,20,0.9333,,2024,20,0.69,,,,,
New York - Rochester,EIP,2020,48,null,,20-Nov-24,0.00002,,2024,21,0.866207,,2024,21,0.87,,,,,
New York - Albany,EIP,2020,48,null,,20-Nov-24,0,,2024,22,0.845001,,2024,22,0.91,,,,,
Entire Network,FluSurv-NET,2020,48,null,,22-Nov-24,0.00001,,2024,23,0.790066,,2024,23,0.48,,,,,
New York - Rochester,EIP,2020,49,null,,25-Nov-24,0,,2024,24,0.729241,,2024,24,0.68,,,,,
New York - Albany,EIP,2020,49,null,,25-Nov-24,0,,2024,25,0.812978,,2024,25,0.78,,,,,
Entire Network,FluSurv-NET,2020,49,null,,26-Nov-24,0.00004,,2024,26,0.751413,,2024,26,0.51,,,,,
New York - Rochester,EIP,2020,50,null,,01-Dec-24,0.00003,,2024,27,0.67063,,2024,27,0.32,,,,,
New York - Albany,EIP,2020,50,null,,02-Dec-24,0,,2024,28,1.48907,,2024,28,0.23,,,,,
Entire Network,FluSurv-NET,2020,50,null,,03-Dec-24,0.00004,,2024,29,1.28793,,2024,29,0.6,,,,,
New York - Rochester,EIP,2020,51,null,,04-Dec-24,0,,2024,30,1.41076,,2024,30,0.34,,,,,
New York - Albany,EIP,2020,51,null,,06-Dec-24,0.0001,,2024,31,1.46741,,2024,31,0.28,,,,,
Entire Network,FluSurv-NET,2020,51,null,,09-Dec-24,0.00012,,2024,32,1.44121,,2024,32,0.21,,,,,
New York - Rochester,EIP,2020,52,null,,09-Dec-24,0.00037,,2024,33,1.52654,,2024,33,0.4,,,,,
New York - Albany,EIP,2020,52,null,,11-Dec-24,0.00016,,2024,34,1.3902,,2024,34,0.22,,,,,
Entire Network,FluSurv-NET,2020,52,null,,11-Dec-24,0.00075,,2024,35,1.41007,,2024,35,0.22,,,,,
New York - Rochester,EIP,2020,53,null,,13-Dec-24,0.00088,,2024,36,1.47033,,2024,36,0.24,,,,,
New York - Albany,EIP,2020,53,null,,16-Dec-24,0.00035,,2024,37,1.90983,,2024,37,0.14,,,,,
Entire Network,FluSurv-NET,2020,53,null,,16-Dec-24,0.00102,,2024,38,2.18268,,2024,38,0.41,,,,,
New York - Rochester,EIP,2021,1,null,,17-Dec-24,0.00053,,2024,39,2.0654,,2024,39,0.1,,,,,
New York - Albany,EIP,2021,1,null,,18-Dec-24,0.00031,,2024,40,1.85201,,2024,40,0.25,,,,,
Entire Network,FluSurv-NET,2021,1,null,,20-Dec-24,0.00004,,2024,41,2.02301,,2024,41,0.04,,,,,
New York - Rochester,EIP,2021,2,null,,23-Dec-24,0.00042,,2024,42,2.09214,,2024,42,0.21,,,,,
New York - Albany,EIP,2021,2,null,,23-Dec-24,0.00053,,2024,43,2.15664,,2024,43,0.18,,,,,
Entire Network,FluSurv-NET,2021,2,null,,25-Dec-24,0.00089,,2024,44,2.05957,,2024,44,0.3,,,,,
New York - Rochester,EIP,2021,3,null,,26-Dec-24,0.00145,,2024,45,2.23525,,2024,45,0.67,,,,,
New York - Albany,EIP,2021,3,null,,30-Dec-24,0.00027,,2024,46,2.26351,,2024,46,0.46,,,,,
Entire Network,FluSurv-NET,2021,3,null,,31-Dec-24,0.00033,,2024,47,2.38223,,2024,47,0.91,,,,,
New York - Rochester,EIP,2021,4,null,,01-Jan-25,0.00023,,2024,48,2.40513,,2024,48,1.96,,,,,
New York - Albany,EIP,2021,4,null,,06-Jan-25,0.00023,,2024,49,2.67706,,2024,49,2.48,,,,,
Entire Network,FluSurv-NET,2021,4,null,,06-Jan-25,0.00024,,2024,50,2.99594,,2024,50,4.25,,,,,
New York - Rochester,EIP,2021,5,null,,08-Jan-25,0.00024,,2024,51,3.69902,,2024,51,6.82,,,,,
New York - Albany,EIP,2021,5,null,,08-Jan-25,0.00027,,2024,52,4.26019,,2024,52,12.69,,,,,
Entire Network,FluSurv-NET,2021,5,null,,10-Jan-25,0.00039,,2025,1,4.32401,,2025,1,13.84,,,,,
New York - Rochester,EIP,2021,6,null,,13-Jan-25,0.00026,,2025,2,4.32212,,2025,2,13.59,,,,,
New York - Albany,EIP,2021,6,null,,13-Jan-25,0.00027,,2025,3,5.67942,,2025,3,20.09,,,,,
Entire Network,FluSurv-NET,2021,6,null,,15-Jan-25,0.00014,,2025,4,6.07612,,2025,4,26.18,,,,,
New York - Rochester,EIP,2021,7,null,,15-Jan-25,0.00062,,2025,5,6.19663,,2025,5,26.4,,,,,
New York - Albany,EIP,2021,7,null,,17-Jan-25,0.00058,,2025,6,6.09533,,2025,6,26.42,,,,,
Entire Network,FluSurv-NET,2021,7,null,,21-Jan-25,0.00014,,2025,7,10.0268,,2025,7,26.23,,,,,
New York - Rochester,EIP,2021,8,null,,21-Jan-25,0.00027,,2025,8,7.97361,,2025,8,20.99,,,,,
New York - Albany,EIP,2021,8,null,,22-Jan-25,0.00014,,2025,9,6.12053,,2025,9,14.75,,,,,
Entire Network,FluSurv-NET,2021,8,null,,22-Jan-25,0.0002,,2025,10,5.65947,,2025,10,12.32,,,,,
New York - Rochester,EIP,2021,9,null,,24-Jan-25,0.00032,,2025,11,5.24737,,2025,11,10,,,,,
New York - Albany,EIP,2021,9,null,,27-Jan-25,0.00047,,2025,12,4.77876,,2025,12,7.13,,,,,
Entire Network,FluSurv-NET,2021,9,null,,27-Jan-25,0.00034,,2025,13,4.05267,,2025,13,5.24,,,,,
New York - Rochester,EIP,2021,10,null,,29-Jan-25,0.00042,,2025,14,3.75492,,2025,14,4.78,,,,,
New York - Albany,EIP,2021,10,null,,29-Jan-25,0.00106,,2025,15,3.57188,,2025,15,2.59,,,,,
Entire Network,FluSurv-NET,2021,10,null,,31-Jan-25,0.00053,,2025,16,2.85171,,2025,16,2.18,,,,,
New York - Rochester,EIP,2021,11,null,,03-Feb-25,0.00031,,2025,17,2.25418,,2025,17,1.94,,,,,
New York - Albany,EIP,2021,11,null,,03-Feb-25,0.00061,,2025,18,1.93354,,2025,18,1.23,,,,,
Entire Network,FluSurv-NET,2021,11,null,,05-Feb-25,0.00082,,2025,19,1.63255,,2025,19,0.96,,,,,
New York - Rochester,EIP,2021,12,null,,05-Feb-25,0.00074,,2025,20,1.7044,,2025,20,0.76,,,,,
New York - Albany,EIP,2021,12,null,,07-Feb-25,0.00192,,2025,21,1.61235,,2025,21,0.5,,,,,
Entire Network,FluSurv-NET,2021,12,null,,10-Feb-25,0.0005,,2025,22,1.47433,,2025,22,0.4,,,,,
New York - Rochester,EIP,2021,13,null,,10-Feb-25,0.00173,,2025,23,1.33061,,2025,23,0.25,,,,,
New York - Albany,EIP,2021,13,null,,12-Feb-25,0.00015,,2025,24,1.20607,,2025,24,0.17,,,,,
Entire Network,FluSurv-NET,2021,13,null,,12-Feb-25,0.00048,,2025,25,1.15729,,2025,25,0.36,,,,,
New York - Rochester,EIP,2021,14,null,,14-Feb-25,0.00049,,2025,26,1.06508,,2025,26,0.23,,,,,
New York - Albany,EIP,2021,14,null,,17-Feb-25,0.0007,,2025,27,0.941791,,2025,27,0.16,,,,,
Entire Network,FluSurv-NET,2021,14,null,,18-Feb-25,0.00149,,2025,28,0.971987,,2025,28,0.3,,,,,
New York - Rochester,EIP,2021,15,null,,18-Feb-25,0.0005,,2025,29,0.907284,,2025,29,0.21,,,,,
New York - Albany,EIP,2021,15,null,,19-Feb-25,0.00144,,2025,30,0.876346,,2025,30,0.49,,,,,
Entire Network,FluSurv-NET,2021,15,null,,19-Feb-25,0.00042,,2025,31,0.848789,,2025,31,0.22,,,,,
New York - Rochester,EIP,2021,16,null,,21-Feb-25,0.0004,,2025,32,0.846372,,2025,32,0.13,,,,,
New York - Albany,EIP,2021,16,null,,24-Feb-25,0.00029,,2025,33,0.749216,,2025,33,0.13,,,,,
Entire Network,FluSurv-NET,2021,16,null,,25-Feb-25,0.00015,,2025,34,0.865477,,2025,34,0.48,,,,,
New York - Rochester,EIP,2021,17,null,,26-Feb-25,0.00023,,2025,35,0.785422,,2025,35,0.16,,,,,
New York - Albany,EIP,2021,17,null,,26-Feb-25,0.00038,,2025,36,0.916158,,2025,36,0.26,,,,,
Entire Network,FluSurv-NET,2021,17,null,,28-Feb-25,0.00002,,2025,37,1.13506,,2025,37,0.38,,,,,
New York - Rochester,EIP,2021,40,0.1,,03-Mar-25,0.00018,,2025,38,1.27416,,2025,38,0.33,,,,,
New York - Albany,EIP,2021,40,0,,05-Mar-25,0.00007,,2025,39,1.35015,,2025,39,0.21,,,,,
Entire Network,FluSurv-NET,2021,40,0,,07-Mar-25,0.00013,,2025,40,1.20488,,2025,40,0.35,,,,,
New York - Rochester,EIP,2021,41,0,,10-Mar-25,0.00066,,2025,41,1.24439,,2025,41,0.19,,,,,
New York - Albany,EIP,2021,41,0.2,,12-Mar-25,0.00107,,2025,42,1.27237,,2025,42,0.43,,,,,
Entire Network,FluSurv-NET,2021,41,0,,17-Mar-25,0.00065,,2025,43,1.31291,,2025,43,0.72,,,,,
New York - Rochester,EIP,2021,42,0,,18-Mar-25,0,,2025,44,1.62799,,2025,44,1.11,,,,,
New York - Albany,EIP,2021,42,0,,19-Mar-25,0.00015,,2025,45,1.96803,,2025,45,1.81,,,,,
Entire Network,FluSurv-NET,2021,42,0,,19-Mar-25,0.00016,,2025,46,2.20097,,2025,46,4.42,,,,,
New York - Rochester,EIP,2021,43,0,,21-Mar-25,0.00019,,2025,47,3.1196,,2025,47,9.85,,,,,
New York - Albany,EIP,2021,43,0.1,,24-Mar-25,0.00007,,2025,48,4.94073,,2025,48,17.1,,,,,
Entire Network,FluSurv-NET,2021,43,0,,24-Mar-25,0.0003,,2025,49,5.74741,,2025,49,17.91,,,,,
New York - Rochester,EIP,2021,44,0.1,,26-Mar-25,0.0001,,2025,50,9.26987,,2025,50,24.73,,,,,
New York - Albany,EIP,2021,44,0,,26-Mar-25,0.0001,,2025,51,13.4543,,2025,51,33.65,,,,,
Entire Network,FluSurv-NET,2021,44,0,,28-Mar-25,0,,2025,52,14.42,,2025,52,38,,,,,
New York - Rochester,EIP,2021,45,0,,31-Mar-25,0.00013,,2025,53,10.8838,,2025,53,28.66,,,,,
New York - Albany,EIP,2021,45,0.2,,31-Mar-25,0.00017,,2026,1,6.53811,,2026,1,17.23,,,,,
Entire Network,FluSurv-NET,2021,45,0.1,,02-Apr-25,0.0003,,2026,2,4.56637,,2026,2,10.49,,,,,
New York - Rochester,EIP,2021,46,0,,02-Apr-25,0.00023,,2026,3,3.63669,,2026,3,7.19,,,,,
New York - Albany,EIP,2021,46,0.2,,04-Apr-25,0.00005,,2026,4,2.92861,,2026,4,5.05,,,,,
Entire Network,FluSurv-NET,2021,46,0.1,,07-Apr-25,0.00003,,2026,5,2.81942,,2026,5,3.36,,,,,
New York - Rochester,EIP,2021,47,0.1,,07-Apr-25,0.00005,,2026,6,3.05652,,2026,6,2.68,,,,,
New York - Albany,EIP,2021,47,0.2,,09-Apr-25,0.00014,,2026,7,3.28426,,2026,7,2.19,,,,,
Entire Network,FluSurv-NET,2021,47,0.2,,09-Apr-25,0.00008,,2026,8,2.78993,,2026,8,1.48,,,,,
New York - Rochester,EIP,2021,48,0.1,,11-Apr-25,0.00007,,2026,9,2.80634,,2026,9,1.34,,,,,
New York - Albany,EIP,2021,48,0.5,,14-Apr-25,0.00013,,2026,10,3.13911,,2026,10,1.11,,,,,
Entire Network,FluSurv-NET,2021,48,0.3,,14-Apr-25,0.00011,,2026,11,3.24556,,2026,11,0.82,,,,,
New York - Rochester,EIP,2021,49,0.8,,16-Apr-25,0.00032,,2026,12,3.39543,,2026,12,0.83,,,,,
New York - Albany,EIP,2021,49,0.7,,16-Apr-25,0.00003,,2026,13,3.1686,,2026,13,0.97,,,,,
Entire Network,FluSurv-NET,2021,49,0.4,,18-Apr-25,0.00001,,2026,14,2.4201,,2026,14,1.02,,,,,
New York - Rochester,EIP,2021,50,0.8,,21-Apr-25,0.00007,,2026,15,1.8069,,2026,15,0.86,,,,,
New York - Albany,EIP,2021,50,0.6,,23-Apr-25,0,,2026,16,1.49987,,2026,16,0.47,,,,,
Entire Network,FluSurv-NET,2021,50,0.6,,25-Apr-25,0,,2026,17,1.36546,,2026,17,0.27,,,,,
New York - Rochester,EIP,2021,51,1,,28-Apr-25,0,,2026,18,1.57791,,2026,18,0.12,,,,,
New York - Albany,EIP,2021,51,0.4,,28-Apr-25,0.00005,,2026,19,1.37911,,2026,19,0.09,,,,,
Entire Network,FluSurv-NET,2021,51,0.7,,30-Apr-25,0,,2026,20,1.21201,,2026,20,0.22,,,,,
New York - Rochester,EIP,2021,52,1.2,,30-Apr-25,0.00002,,2026,21,1.09783,,2026,21,0.43,,,,,
New York - Albany,EIP,2021,52,0.8,,02-May-25,0.00001,,2026,22,1.07109,,2026,22,0.34,,,,,
Entire Network,FluSurv-NET,2021,52,1,,05-May-25,0,,2026,23,0.953332,,2026,23,0.13,,,,,
New York - Rochester,EIP,2022,1,0.2,,05-May-25,0.00002,,2026,24,0.886119,,2026,24,0.08,,,,,
New York - Albany,EIP,2022,1,0.3,,07-May-25,0.00006,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,1,0.6,,07-May-25,0.00009,,,,,,,,,,,,,
New York - Rochester,EIP,2022,2,0.3,,09-May-25,0.00005,,,,,,,,,,,,,
New York - Albany,EIP,2022,2,0.3,,12-May-25,0.00004,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,2,0.4,,12-May-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,3,0.3,,14-May-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,3,0.2,,14-May-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,3,0.3,,16-May-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,4,0.3,,19-May-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,4,0,,19-May-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,4,0.2,,21-May-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,5,0.1,,21-May-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,5,0.1,,22-May-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,5,0.2,,26-May-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,6,0,,26-May-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,6,0.1,,28-May-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,6,0.2,,28-May-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,7,0,,30-May-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,7,0.2,,02-Jun-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,7,0.2,,02-Jun-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,8,0.2,,04-Jun-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,8,0,,06-Jun-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,8,0.3,,09-Jun-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,9,0.2,,09-Jun-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,9,0.1,,11-Jun-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,9,0.3,,11-Jun-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,10,0.8,,13-Jun-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,10,0.2,,16-Jun-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,10,0.4,,16-Jun-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,11,1,,18-Jun-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,11,0.8,,18-Jun-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,11,0.6,,20-Jun-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,12,1.2,,23-Jun-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,12,0.3,,23-Jun-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,12,0.7,,25-Jun-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,13,3.2,,25-Jun-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,13,0.9,,27-Jun-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,13,0.9,,30-Jun-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,14,3.7,,30-Jun-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,14,2,,01-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,14,1.1,,02-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,15,2.9,,03-Jul-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,15,1.6,,06-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,15,1.1,,06-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,16,3.2,,06-Jul-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2022,16,1.6,,06-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,16,1.2,,06-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,17,2.7,,06-Jul-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,17,2.5,,06-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,17,1.2,,06-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,18,1.8,,07-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,18,1.1,,08-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,18,1.1,,09-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,19,2.5,,09-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,19,1.4,,11-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,19,1,,13-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,20,1.6,,13-Jul-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,20,1.2,,13-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,20,0.8,,13-Jul-25,0.00002,,,,,,,,,,,,,
New York - Rochester,EIP,2022,21,0.5,,13-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,21,0.8,,13-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,21,0.6,,13-Jul-25,0.00002,,,,,,,,,,,,,
New York - Rochester,EIP,2022,22,0.8,,13-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,22,0.2,,14-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,22,0.5,,14-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,23,0.3,,15-Jul-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,23,0.2,,16-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,23,0.3,,18-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,40,0.1,,20-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,40,0,,20-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,40,0.4,,20-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,41,0.1,,20-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,41,0.4,,20-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,41,0.6,,20-Jul-25,0.00002,,,,,,,,,,,,,
New York - Rochester,EIP,2022,42,0.4,,20-Jul-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2022,42,0.2,,20-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,42,0.9,,20-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,43,1.2,,21-Jul-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,43,0.1,,21-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,43,1.7,,23-Jul-25,0,,,,,,,,,,,,,
New York - Rochester,EIP,2022,44,1.5,,23-Jul-25,0,,,,,,,,,,,,,
New York - Albany,EIP,2022,44,0.4,,25-Jul-25,0,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,44,2.5,,27-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,45,3.4,,27-Jul-25,0.00001,,,,,,,,,,,,,
New York - Albany,EIP,2022,45,1.2,,27-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,45,3.2,,27-Jul-25,0.00001,,,,,,,,,,,,,
New York - Rochester,EIP,2022,46,5.7,,27-Jul-25,0.00002,,,,,,,,,,,,,
New York - Albany,EIP,2022,46,2.1,,27-Jul-25,0.00001,,,,,,,,,,,,,
Entire Network,FluSurv-NET,2022,46,3.9,,27-Jul-25,0.00002,,,,,,,,,,,,,
