"Time","headache"
"2021-07-01",44
"2021-08-01",46
"2021-09-01",45
"2021-10-01",46
"2021-11-01",46
"2021-12-01",55
"2022-01-01",65
"2022-02-01",49
"2022-03-01",49
"2022-04-01",53
"2022-05-01",50
"2022-06-01",50
"2022-07-01",55
"2022-08-01",51
"2022-09-01",49
"2022-10-01",49
"2022-11-01",53
"2022-12-01",53
"2023-01-01",49
"2023-02-01",52
"2023-03-01",52
"2023-04-01",46
"2023-05-01",48
"2023-06-01",48
"2023-07-01",47
"2023-08-01",57
"2023-09-01",48
"2023-10-01",49
"2023-11-01",52
"2023-12-01",49
"2024-01-01",51
"2024-02-01",54
"2024-03-01",51
"2024-04-01",50
"2024-05-01",48
"2024-06-01",48
"2024-07-01",53
"2024-08-01",55
"2024-09-01",49
"2024-10-01",54
"2024-11-01",49
"2024-12-01",56
"2025-01-01",59
"2025-02-01",57
"2025-03-01",54
"2025-04-01",49
"2025-05-01",48
"2025-06-01",49
"2025-07-01",53
"2025-08-01",54
"2025-09-01",52
"2025-10-01",52
"2025-11-01",63
"2025-12-01",61
"2026-01-01",61
"2026-02-01",60
"2026-03-01",100
"2026-04-01",70
"2026-05-01",71
"2026-06-01",73
