"Time","chest pain when breathing"
"2025-06-29",54
"2025-07-06",67
"2025-07-13",62
"2025-07-20",61
"2025-07-27",54
"2025-08-03",64
"2025-08-10",37
"2025-08-17",49
"2025-08-24",57
"2025-08-31",57
"2025-09-07",55
"2025-09-14",58
"2025-09-21",41
"2025-09-28",63
"2025-10-05",71
"2025-10-12",51
"2025-10-19",53
"2025-10-26",73
"2025-11-02",70
"2025-11-09",66
"2025-11-16",76
"2025-11-23",56
"2025-11-30",56
"2025-12-07",82
"2025-12-14",84
"2025-12-21",57
"2025-12-28",73
"2026-01-04",64
"2026-01-11",60
"2026-01-18",61
"2026-01-25",60
"2026-02-01",66
"2026-02-08",74
"2026-02-15",54
"2026-02-22",57
"2026-03-01",60
"2026-03-08",78
"2026-03-15",73
"2026-03-22",100
"2026-03-29",81
"2026-04-05",68
"2026-04-12",69
"2026-04-19",46
"2026-04-26",53
"2026-05-03",58
"2026-05-10",52
"2026-05-17",60
"2026-05-24",55
"2026-05-31",53
"2026-06-07",54
"2026-06-14",52
"2026-06-21",48
"2026-06-28",49
