Year, Week, Age Group,A (H1),A (Unable to Subtype),A (H3),A (H1N1)pdm09,A (Subtyping not Performed),B (Victoria Lineage),B (Yamagata Lineage),B (Lineage Unspecified),H3N2v
2026,7,25-64 yr,0,0,269,91,48,70,0,130,0
2026,8,25-64 yr,0,0,214,71,25,91,0,131,0
2026,9,25-64 yr,0,0,202,61,15,113,0,148,0
2026,10,25-64 yr,0,0,116,38,16,96,0,151,0
2026,11,25-64 yr,0,0,69,35,6,93,0,147,0
2026,12,25-64 yr,0,0,53,25,7,113,0,163,0
2026,13,25-64 yr,0,0,48,30,4,104,0,127,0
2026,14,25-64 yr,0,0,34,37,6,69,0,117,0
2026,15,25-64 yr,0,0,18,25,6,42,0,75,0
2026,16,25-64 yr,0,0,17,10,0,23,0,57,0
2026,17,25-64 yr,0,0,12,6,1,26,0,55,0
2026,18,25-64 yr,0,0,6,9,1,21,0,46,0
2026,19,25-64 yr,0,0,8,7,1,10,0,45,0
2026,20,25-64 yr,0,0,0,6,2,9,0,25,0
2026,21,25-64 yr,0,0,6,5,1,8,0,25,0
2026,22,25-64 yr,0,0,7,3,4,5,0,21,0
2026,23,25-64 yr,0,0,5,4,3,6,0,12,0
2026,24,25-64 yr,0,0,1,2,0,4,0,2,0
2025,40,65+ yr,0,0,10,13,0,0,0,0,0
2025,41,65+ yr,0,0,12,18,2,0,0,0,0
2025,42,65+ yr,0,0,17,18,0,0,0,0,0
2025,43,65+ yr,0,0,25,32,4,0,0,0,0
2025,44,65+ yr,0,0,21,17,5,0,0,0,0
2025,45,65+ yr,0,0,57,28,4,0,0,0,0
2025,46,65+ yr,0,0,93,50,5,1,0,3,0
2025,47,65+ yr,0,0,147,51,12,0,0,1,0
2025,48,65+ yr,0,0,238,67,36,0,0,2,0
2025,49,65+ yr,0,0,351,58,44,0,0,3,0
2025,50,65+ yr,0,0,518,69,119,2,0,1,0
2025,51,65+ yr,0,0,963,84,291,0,0,4,0
2025,52,65+ yr,0,0,1537,117,426,1,0,7,0
2025,53,65+ yr,0,0,1799,147,605,1,0,10,0
2026,1,65+ yr,0,0,1282,110,422,3,0,7,0
2026,2,65+ yr,0,0,748,99,167,1,0,5,0
2026,3,65+ yr,0,0,580,83,87,1,0,5,0
2026,4,65+ yr,0,0,556,88,78,4,0,12,0
2026,5,65+ yr,0,0,557,109,58,3,0,11,0
2026,6,65+ yr,0,0,474,100,56,7,0,12,0
2026,7,65+ yr,0,0,427,99,61,8,0,22,0
2026,8,65+ yr,0,0,279,84,25,8,0,25,0
2026,9,65+ yr,0,0,232,66,24,17,0,26,0
2026,10,65+ yr,0,0,120,46,14,16,0,20,0
2026,11,65+ yr,0,0,89,31,7,6,0,20,0
2026,12,65+ yr,0,0,54,45,5,15,0,17,0
2026,13,65+ yr,0,0,50,38,3,8,0,12,0
2026,14,65+ yr,0,0,30,33,0,7,0,14,0
2026,15,65+ yr,0,0,29,26,3,5,0,8,0
2026,16,65+ yr,0,0,8,18,1,4,0,5,0
2026,17,65+ yr,0,0,6,10,1,3,0,7,0
2026,18,65+ yr,0,0,8,6,0,3,0,3,0
2026,19,65+ yr,0,0,6,10,2,6,0,6,0
