feature,importance
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,5.5531913e-05
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_t,5.4250035e-05
swiss_influenza_a_lag7,5.4189913e-05
uk_lrti_gp_hours__lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay_t,5.3885236e-05
swiss_sars_cov_2_t,5.247215e-05
swiss_sars_cov_2_roll14,4.9907852e-05
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay,4.2966145e-05
swiss_rsv_roll14,3.9468832e-05
uk_ari_syndromic_calls__acute-respiratory-infection_syndromic_NHS111triagedcalls_countsByDay_lag14,3.544558e-05
swiss_influenza_b_lag3,3.512498e-05
swiss_influenza_a_roll14,3.4907553e-05
swiss_influenza_b,3.0389308e-05
swiss_influenza_b_roll14,2.5170284e-05
uk_urti_gp_hours__upper-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,0.0
CosWeek_t,0.0
scotland_rna_roll14,0.0
scotland_rna_roll7,0.0
