theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-09,7.3000,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-09,7.0100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-08,7.0700,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-08,7.3600,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-08,9.5900,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-07,7.2400,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-07,7.4200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-07,0.2200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-06,7.4100,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-06,7.4800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-06,0.4500,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-05,7.6300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-05,7.5400,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-05,6.6800,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-04,7.8300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-04,7.6300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-04,6.9200,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-03,7.8300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-03,7.6300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-03,6.8300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-02,7.8300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_baselineRateByDay,all,all,default,2026,2026-06-02,7.6300,False
infectious_disease,respiratory,lower-respiratory-tract-infection,Nation,England,lower-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-02,8.1200,False
