"Time","runny nose"
"2021-07-01",78
"2021-08-01",68
"2021-09-01",100
"2021-10-01",85
"2021-11-01",72
"2021-12-01",90
"2022-01-01",61
"2022-02-01",60
"2022-03-01",74
"2022-04-01",61
"2022-05-01",54
"2022-06-01",55
"2022-07-01",50
"2022-08-01",35
"2022-09-01",62
"2022-10-01",53
"2022-11-01",51
"2022-12-01",91
"2023-01-01",51
"2023-02-01",58
"2023-03-01",58
"2023-04-01",53
"2023-05-01",52
"2023-06-01",44
"2023-07-01",39
"2023-08-01",37
"2023-09-01",49
"2023-10-01",57
"2023-11-01",54
"2023-12-01",73
"2024-01-01",54
"2024-02-01",56
"2024-03-01",58
"2024-04-01",53
"2024-05-01",54
"2024-06-01",51
"2024-07-01",42
"2024-08-01",31
"2024-09-01",53
"2024-10-01",54
"2024-11-01",56
"2024-12-01",63
"2025-01-01",56
"2025-02-01",61
"2025-03-01",58
"2025-04-01",53
"2025-05-01",49
"2025-06-01",44
"2025-07-01",37
"2025-08-01",39
"2025-09-01",58
"2025-10-01",61
"2025-11-01",59
"2025-12-01",73
"2026-01-01",61
"2026-02-01",57
"2026-03-01",67
"2026-04-01",58
"2026-05-01",52
"2026-06-01",45
