theme,sub_theme,topic,geography_type,geography,metric,sex,age,stratum,year,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-03,18.9700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-02,21.0000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-02,21.6600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-06-01,21.2900,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-06-01,27.4600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-31,21.3400,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-31,2.2800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-30,21.1100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-30,4.6400,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-29,20.0800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-29,19.7700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-28,19.7000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-28,18.8500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-27,19.7000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-27,17.8300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-26,19.7000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-26,23.7300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-25,19.8500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-25,2.2900,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-24,21.1100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-24,2.0800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-23,22.9000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-23,4.2200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-22,25.3300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-22,20.5200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-21,25.3300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-21,23.0200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-20,25.3300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-20,23.8300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-19,25.3300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-19,25.8800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-18,25.9100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-18,33.4200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-17,25.7400,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-17,2.2000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-16,25.5600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-16,4.4500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-15,25.3800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-15,23.4100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-14,25.0500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-14,22.1800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-13,25.0500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-13,22.9000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-12,25.0500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-12,25.0000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-11,25.0600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-11,31.7800,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-10,25.1300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-10,2.1600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-09,25.3500,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-09,4.2200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-08,24.9400,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-08,23.4700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-07,24.8700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-07,22.4900,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-06,24.8700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-06,24.0100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-05,24.8700,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-05,31.1300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-04,24.3600,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-04,2.5100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-03,24.2200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-03,2.1900,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-02,23.7000,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-02,4.2200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-05-01,23.9200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-05-01,20.9100,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-30,23.9200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-30,22.0300,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_averageRolling7Day,all,all,default,2026,2026-04-29,23.9200,False
infectious_disease,respiratory,upper-respiratory-tract-infection,Nation,England,upper-respiratory-tract-infection_syndromic_GPInHours_rateByDay,all,all,default,2026,2026-04-29,22.2800,False
