Season,ISOyear,WeekBeginning,WeekEnding,WastewaterTreatmentWork,Average(Mgc),Average(Mgc)QF,PercentCoverage
2019/20,2020,20200530,20200605,Bothwellbank,NA,:,0
2019/20,2020,20200530,20200605,Dunnswood,NA,:,0
2019/20,2020,20200530,20200605,Harthill,NA,:,0
2019/20,2020,20200530,20200605,Lanark,NA,:,0
2019/20,2020,20200530,20200605,Lesmahagow,NA,:,0
2019/20,2020,20200530,20200605,Mauldslie,NA,:,0
2019/20,2020,20200530,20200605,Shotts,NA,:,0
2019/20,2020,20200530,20200605,Skellyton,NA,:,0
2019/20,2020,20200530,20200605,Stonehouse,NA,:,0
2019/20,2020,20200530,20200605,Strathaven,NA,:,0
2019/20,2020,20200530,20200605,Swinstie,NA,:,0
2019/20,2020,20200530,20200605,Armadale,NA,:,0
2019/20,2020,20200530,20200605,Bathgate,NA,:,0
2019/20,2020,20200530,20200605,Blackburn,NA,:,0
2019/20,2020,20200530,20200605,Blackridge,NA,:,0
2019/20,2020,20200530,20200605,Dunbar,NA,:,0
2019/20,2020,20200530,20200605,East Calder,NA,:,0
2019/20,2020,20200530,20200605,Fauldhouse,NA,:,0
2019/20,2020,20200530,20200605,Haddington,NA,:,0
2019/20,2020,20200530,20200605,Linlithgow,NA,:,0
2019/20,2020,20200530,20200605,Newbridge,NA,:,0
2019/20,2020,20200530,20200605,Penicuik,NA,:,0
2019/20,2020,20200530,20200605,Whitburn,NA,:,0
2019/20,2020,20200530,20200605,Winchburgh,NA,:,0
2019/20,2020,20200530,20200605,Blairgowrie,NA,:,0
2019/20,2020,20200530,20200605,Forfar,NA,:,0
2019/20,2020,20200530,20200605,Montrose,NA,:,0
2019/20,2020,20200530,20200605,Perth,NA,:,0
2019/20,2020,20200606,20200612,Meadowhead,NA,:,0
2019/20,2020,20200606,20200612,Galashiels,NA,:,0
2019/20,2020,20200606,20200612,Hawick,0,,100
2019/20,2020,20200606,20200612,Peebles,NA,:,0
2019/20,2020,20200606,20200612,Annan,NA,:,0
2019/20,2020,20200606,20200612,Dalbeattie,NA,:,0
2019/20,2020,20200606,20200612,Dalscone,NA,:,0
2019/20,2020,20200606,20200612,Lockerbie,NA,:,0
2019/20,2020,20200606,20200612,Troqueer,0,,100
2019/20,2020,20200606,20200612,Dunfermline,0,,100
2019/20,2020,20200606,20200612,Levenmouth,0,,100
2019/20,2020,20200606,20200612,Falkirk,0,,100
2019/20,2020,20200606,20200612,Stirling,NA,:,0
2019/20,2020,20200606,20200612,Nigg,0,,100
2019/20,2020,20200606,20200612,Dalmuir,0,,100
2019/20,2020,20200606,20200612,Shieldhall,0.78,,100
2019/20,2020,20200606,20200612,Allanfearn,0,,100
2019/20,2020,20200606,20200612,Fort William,NA,:,0
2019/20,2020,20200606,20200612,Helensburgh,0,,100
2019/20,2020,20200606,20200612,Nairn,NA,:,0
2019/20,2020,20200606,20200612,Carbarns,NA,:,0
2019/20,2020,20200606,20200612,Hamilton,NA,:,0
2019/20,2020,20200606,20200612,Philipshill,NA,:,0
2019/20,2020,20200606,20200612,Seafield,NA,:,0
2019/20,2020,20200606,20200612,Kirkwall,0,,100
2019/20,2020,20200606,20200612,Lerwick,0,,100
2019/20,2020,20200606,20200612,Hatton,NA,:,0
2019/20,2020,20200606,20200612,Stornoway,NA,:,0
2019/20,2020,20200606,20200612,Cumnock,NA,:,0
2019/20,2020,20200606,20200612,Fairlie,NA,:,0
2019/20,2020,20200606,20200612,Girvan,NA,:,0
2019/20,2020,20200606,20200612,Largs,NA,:,0
2019/20,2020,20200606,20200612,Maybole,NA,:,0
2019/20,2020,20200606,20200612,Muirkirk,NA,:,0
2019/20,2020,20200606,20200612,New Cumnock,NA,:,0
2019/20,2020,20200606,20200612,Stevenston,NA,:,0
2019/20,2020,20200606,20200612,Coldstream,NA,:,0
2019/20,2020,20200606,20200612,Duns,NA,:,0
2019/20,2020,20200606,20200612,Eyemouth,NA,:,0
2019/20,2020,20200606,20200612,Jedburgh,NA,:,0
2019/20,2020,20200606,20200612,Kelso,NA,:,0
2019/20,2020,20200606,20200612,Newtown St Boswell,NA,:,0
2019/20,2020,20200606,20200612,Selkirk,NA,:,0
2019/20,2020,20200606,20200612,Langholm,NA,:,0
2019/20,2020,20200606,20200612,Loch Ryan,NA,:,0
2019/20,2020,20200606,20200612,Sanquhar,NA,:,0
2019/20,2020,20200606,20200612,Bowhouse,NA,:,0
2019/20,2020,20200606,20200612,Cupar,NA,:,0
2019/20,2020,20200606,20200612,Guardbridge,NA,:,0
2019/20,2020,20200606,20200612,Ironmill Bay,NA,:,0
2019/20,2020,20200606,20200612,Kincardine,NA,:,0
2019/20,2020,20200606,20200612,Kirkcaldy,NA,:,0
2019/20,2020,20200606,20200612,Newburgh,NA,:,0
2019/20,2020,20200606,20200612,Newport & Tayport,NA,:,0
2019/20,2020,20200606,20200612,Springfield,NA,:,0
2019/20,2020,20200606,20200612,St Andrews,NA,:,0
2019/20,2020,20200606,20200612,Alloa,NA,:,0
2019/20,2020,20200606,20200612,Alva,NA,:,0
2019/20,2020,20200606,20200612,Boness,NA,:,0
2019/20,2020,20200606,20200612,Bonnybridge,NA,:,0
2019/20,2020,20200606,20200612,Denny,NA,:,0
2019/20,2020,20200606,20200612,Dunblane,NA,:,0
2019/20,2020,20200606,20200612,Kinneil,NA,:,0
2019/20,2020,20200606,20200612,Tillicoultry,NA,:,0
2019/20,2020,20200606,20200612,Banchory,NA,:,0
2019/20,2020,20200606,20200612,Banff,NA,:,0
2019/20,2020,20200606,20200612,Buckie,NA,:,0
2019/20,2020,20200606,20200612,Ellon,NA,:,0
2019/20,2020,20200606,20200612,Forres,NA,:,0
2019/20,2020,20200606,20200612,Fraserburgh,NA,:,0
2019/20,2020,20200606,20200612,Huntly,NA,:,0
2019/20,2020,20200606,20200612,Inverurie,NA,:,0
2019/20,2020,20200606,20200612,Lossiemouth,NA,:,0
2019/20,2020,20200606,20200612,Persley,NA,:,0
2019/20,2020,20200606,20200612,Peterhead,NA,:,0
2019/20,2020,20200606,20200612,Turriff,NA,:,0
2019/20,2020,20200606,20200612,Ardoch,NA,:,0
2019/20,2020,20200606,20200612,Daldowie,NA,:,0
2019/20,2020,20200606,20200612,Dalmarnock,NA,:,0
2019/20,2020,20200606,20200612,Erskine,NA,:,0
2019/20,2020,20200606,20200612,Inverclyde,NA,:,0
2019/20,2020,20200606,20200612,Neilston,NA,:,0
2019/20,2020,20200606,20200612,Paisley,NA,:,0
2019/20,2020,20200606,20200612,Uplawmoor,NA,:,0
2019/20,2020,20200606,20200612,Alness,NA,:,0
2019/20,2020,20200606,20200612,Aviemore,NA,:,0
2019/20,2020,20200606,20200612,Dunoon,NA,:,0
